animal,energie,faim,nourriture,predateurs,pret_reproduction,partenaire_proche,decision
0,62,26,0,0,1,0,1
1,8,26,1,2,1,1,2
1,57,90,1,0,0,1,3
1,70,87,0,0,1,0,1
0,90,38,0,1,0,1,2
0,25,99,1,1,1,1,2
2,45,70,1,0,0,1,3
1,29,7,1,1,1,0,2
2,39,6,0,1,0,0,2
1,37,78,0,1,1,1,2
1,22,4,0,0,0,1,1
2,93,65,1,1,0,0,2
1,67,50,0,0,1,0,1
1,82,66,0,0,1,0,1
0,46,46,0,0,1,0,1
2,74,80,1,0,0,0,3
2,42,80,0,2,1,0,2
0,36,29,0,0,0,0,1
0,43,14,0,2,0,0,2
0,21,51,1,2,0,0,2
0,93,75,1,2,1,1,2
1,51,81,1,1,1,0,2
0,74,52,1,0,1,0,3
1,32,1,1,1,0,1,2
0,36,94,0,2,1,0,2
0,17,89,1,1,0,0,2
1,60,48,1,0,1,1,3
2,34,44,1,0,1,1,3
0,60,23,0,2,0,1,2
2,83,64,1,0,1,1,3
1,73,63,0,1,0,0,2
2,16,71,0,2,0,1,2
0,19,88,0,1,0,1,2
2,84,12,0,0,0,1,1
1,66,42,0,2,0,0,2
2,70,22,1,2,0,1,2
1,89,84,1,1,1,1,2
1,37,31,1,0,0,1,1
1,31,17,1,0,0,1,1
2,29,44,1,2,1,1,2
0,25,93,0,1,1,1,2
2,1,78,0,2,0,1,4
2,78,12,1,0,1,0,1
2,5,62,1,1,0,1,2
1,27,9,1,2,1,0,2
1,85,76,1,2,0,0,2
1,31,41,0,1,0,1,2
0,59,14,0,1,1,0,2
0,32,24,1,2,1,1,2
1,75,29,1,2,1,1,2
0,46,25,0,1,0,0,2
1,45,2,1,1,1,1,2
0,10,96,1,1,1,1,2
2,8,92,0,0,0,0,0
2,73,59,0,1,0,1,2
2,80,5,1,1,0,1,2
2,82,2,0,0,0,1,1
2,31,55,0,1,1,0,2
0,68,66,1,0,0,0,3
0,49,92,0,2,0,1,2
1,28,88,0,0,0,0,0
0,78,37,0,0,1,1,5
1,66,39,0,1,0,1,2
2,33,82,1,1,0,1,2
2,21,18,0,1,1,1,2
1,45,45,0,0,1,1,5
2,8,69,0,1,1,0,2
1,81,2,1,1,1,0,2
1,72,97,1,0,0,0,3
2,14,87,1,1,1,1,2
1,66,40,1,1,0,0,2
2,41,52,0,0,1,0,1
2,14,91,1,0,1,0,0
1,97,70,0,2,0,1,2
2,68,47,0,2,0,0,2
1,52,57,0,1,1,1,2
2,38,10,1,0,0,1,1
1,25,53,1,2,0,1,2
1,92,18,0,2,1,1,2
1,98,39,0,0,1,1,5
1,79,17,1,0,1,1,5
0,45,89,0,2,0,0,2
1,76,10,0,2,1,1,2
1,74,5,1,1,0,1,2
2,65,59,1,0,1,1,3
1,98,50,1,2,1,1,2
1,42,46,1,0,0,0,3
2,2,97,1,1,0,1,4
0,50,44,0,0,0,0,1
0,72,62,0,0,1,0,1
0,50,42,1,1,1,1,2
1,29,29,1,2,1,1,2
1,79,60,1,2,1,1,2
2,43,86,1,1,1,0,2
0,44,51,0,2,1,0,2
0,83,77,0,2,0,1,2
0,40,10,0,0,1,0,1
1,89,73,1,1,0,0,2
2,58,48,0,0,1,0,1
1,75,36,1,0,0,0,1
2,63,25,0,2,0,1,2
0,85,60,1,1,1,1,2
2,82,20,1,2,1,0,2
2,33,26,0,2,0,0,2
2,4,25,1,1,1,0,2
2,56,55,1,0,1,0,3
1,20,35,0,1,0,1,2
1,59,55,1,1,0,1,2
0,2,96,0,2,0,1,4
0,25,94,1,0,1,0,3
2,14,97,0,1,0,0,2
1,35,70,1,2,0,1,2
1,48,54,1,0,0,1,3
2,71,18,0,2,0,1,2
1,45,99,0,2,1,1,2
0,89,79,1,2,0,0,2
2,25,51,1,0,0,0,0
1,71,8,0,1,0,0,2
1,10,15,1,2,0,1,2
1,37,37,0,2,0,1,2
2,12,39,0,2,1,1,2
1,6,53,1,1,1,0,2
2,16,9,0,1,0,0,2
0,61,38,1,1,1,1,2
0,14,21,0,1,1,0,2
0,55,41,0,2,0,0,2
0,99,29,1,2,1,1,2
0,72,68,0,1,1,0,2
1,66,34,1,2,0,0,2
0,30,69,0,2,1,0,2
0,21,28,0,0,1,1,1
1,79,25,1,2,1,0,2
0,25,12,1,2,0,1,2
0,69,0,1,0,0,0,1
0,45,14,1,2,0,0,2
1,10,14,1,2,0,0,2
2,18,20,0,1,1,0,2
1,97,38,1,2,1,1,2
2,55,41,0,1,1,0,2
1,100,68,0,2,0,1,2
0,54,28,0,0,0,0,1
2,47,20,1,0,1,0,1
0,36,86,0,0,0,1,1
1,29,77,0,1,0,0,2
0,65,35,0,1,0,1,2
0,57,50,1,1,0,1,2
0,10,79,1,0,0,0,3
2,59,65,0,1,1,1,2
2,71,88,0,1,1,0,2
0,21,50,1,2,1,0,2
1,96,65,1,0,1,1,3
0,75,10,0,0,1,0,1
1,29,70,1,2,1,0,2
0,51,71,0,2,0,1,2
2,35,27,1,1,0,1,2
0,46,22,0,1,0,0,2
0,2,81,0,1,0,0,4
0,10,25,0,0,1,1,1
1,20,99,1,1,1,1,2
0,81,85,1,2,0,0,2
1,0,1,1,1,0,1,4
1,2,36,0,0,0,1,4
1,63,30,1,2,1,1,2
2,26,85,0,2,1,0,2
1,98,78,0,2,0,1,2
1,43,3,1,0,0,0,1
1,20,89,1,0,0,1,0
2,14,85,1,1,1,0,2
1,5,4,1,2,0,1,2
0,69,8,1,0,0,0,1
0,71,43,1,1,0,0,2
2,73,9,1,2,1,1,2
0,67,85,1,1,0,1,2
1,82,39,1,0,0,1,1
1,77,83,1,0,0,1,3
0,87,32,0,2,0,0,2
0,60,66,1,2,0,0,2
2,57,80,1,1,1,1,2
0,64,28,0,0,1,0,1
0,74,31,1,1,1,1,2
1,60,49,1,0,0,0,3
2,87,23,1,2,0,0,2
0,50,65,1,1,1,1,2
2,71,68,0,2,1,1,2
1,25,96,0,0,0,1,0
1,72,84,0,0,0,0,1
2,1,81,0,0,0,1,4
2,10,12,0,0,0,1,1
2,89,28,1,0,1,1,5
1,80,26,1,0,1,1,5
0,24,3,1,0,1,1,1
0,29,84,1,1,1,1,2
2,2,19,0,2,0,0,4
2,66,83,0,2,1,1,2
2,75,94,1,0,0,1,3
0,49,74,1,2,0,0,2
1,100,4,1,2,1,0,2
1,92,23,0,1,1,0,2
2,61,42,0,0,0,1,1
2,89,66,0,1,1,0,2
2,92,67,1,1,1,0,2
2,22,42,1,2,0,1,2
1,57,19,0,0,1,1,5
2,99,65,1,0,0,0,3
0,88,75,1,0,0,0,3
0,63,75,1,2,1,0,2
0,85,32,1,0,1,1,5
2,44,73,1,0,0,1,3
1,86,76,1,2,1,1,2
2,73,21,0,0,1,1,5
0,7,88,0,1,1,0,2
2,37,91,1,2,1,1,2
1,96,86,1,0,1,0,3
2,92,22,0,2,0,1,2
2,84,23,0,1,1,1,2
0,52,25,0,1,1,1,2
2,5,84,0,2,0,1,2
0,4,29,1,1,0,0,2
1,70,28,1,1,0,0,2
0,36,90,0,1,1,1,2
1,73,70,0,2,0,1,2
1,8,99,1,2,1,0,2
2,30,41,0,2,1,1,2
1,46,67,0,1,0,1,2
0,99,25,1,2,0,1,2
2,66,30,0,1,1,1,2
2,50,12,0,2,0,0,2
2,70,27,1,0,1,1,5
1,46,23,0,2,1,0,2
2,6,80,1,2,0,1,2
0,9,88,1,0,0,0,3
0,97,79,1,2,1,1,2
2,58,24,0,0,1,1,5
0,63,15,0,0,1,0,1
0,78,10,1,0,1,1,5
2,7,18,0,1,1,1,2
1,54,14,1,0,1,1,5
1,48,85,1,1,1,0,2
2,35,28,1,1,0,1,2
1,50,92,0,0,1,0,1
0,49,37,1,1,1,0,2
0,73,47,1,0,0,1,3
1,69,47,0,0,0,1,1
2,80,58,0,1,0,1,2
0,19,25,0,1,1,1,2
2,79,79,0,1,1,1,2
0,76,54,0,1,1,0,2
0,50,53,1,2,0,0,2
1,15,29,0,2,0,1,2
2,8,17,0,1,1,0,2
2,72,82,1,1,0,1,2
1,75,12,0,1,1,0,2
0,58,21,0,2,0,1,2
1,13,54,0,0,1,1,0
0,12,95,1,0,1,1,3
1,51,45,1,1,1,0,2
0,85,100,0,2,1,0,2
2,8,42,0,0,1,1,1
2,49,45,1,2,0,1,2
0,7,71,0,1,0,0,2
2,44,54,0,1,0,0,2
1,8,40,1,0,0,1,1
0,39,93,0,1,0,1,2
2,90,21,0,1,0,0,2
1,76,14,1,1,1,0,2
0,4,9,0,0,0,0,1
1,35,21,1,2,1,0,2
2,22,19,1,1,0,1,2
2,95,17,1,1,0,1,2
1,9,64,1,2,0,1,2
1,97,87,0,1,1,1,2
2,97,99,0,0,0,1,1
2,52,82,1,0,1,0,3
0,51,9,0,2,1,1,2
2,13,19,0,2,1,0,2
0,69,52,1,2,0,0,2
0,77,38,0,0,0,1,1
0,80,98,0,0,0,0,1
2,46,45,0,2,1,0,2
1,100,74,0,0,1,0,1
0,34,65,0,0,1,1,1
2,81,5,1,1,0,1,2
0,23,1,1,0,1,0,1
0,52,98,1,0,1,0,3
2,20,3,0,1,1,0,2
2,50,68,0,1,0,0,2
1,37,90,0,2,1,1,2
2,50,21,1,1,1,0,2
1,95,61,0,1,1,0,2
0,99,54,1,1,0,0,2
1,51,49,0,0,1,1,5
2,70,53,1,0,0,0,3
2,47,67,1,1,0,0,2
0,88,82,1,1,1,0,2
0,14,67,1,0,0,0,3
1,32,75,0,1,1,0,2
0,80,38,1,0,0,0,1
2,16,75,0,2,0,1,2
1,68,24,1,2,1,0,2
0,56,55,1,2,1,0,2
0,20,73,0,2,1,1,2
2,98,42,1,2,0,1,2
2,35,57,1,1,1,0,2
2,28,49,0,2,0,0,2
2,47,41,0,0,0,0,1
1,24,51,1,2,0,0,2
2,92,15,1,2,0,0,2
2,92,46,1,2,0,1,2
2,50,12,1,0,0,0,1
1,84,79,1,1,1,0,2
2,5,48,0,1,0,0,2
0,64,38,0,0,1,1,5
2,49,41,0,0,0,0,1
0,72,87,1,0,0,0,3
2,6,49,0,0,1,1,1
1,7,65,0,0,0,1,0
0,25,70,1,0,1,0,3
2,19,77,0,1,0,1,2
1,31,76,1,0,1,0,3
1,82,65,0,0,0,1,1
1,28,81,1,1,0,1,2
1,17,58,0,1,1,0,2
0,38,91,0,2,0,0,2
1,27,55,1,2,1,1,2
1,68,43,1,2,0,1,2
2,35,24,0,2,0,0,2
2,41,19,1,1,1,1,2
2,90,71,1,2,1,0,2
0,33,84,0,0,0,1,1
0,8,90,1,2,0,0,2
0,51,76,1,2,0,1,2
2,28,49,0,0,0,1,1
1,39,31,1,2,0,1,2
2,98,61,0,0,1,0,1
1,49,100,0,0,0,0,1
2,36,98,0,0,0,1,1
0,10,17,0,2,0,1,2
0,13,88,1,2,1,1,2
0,31,49,1,2,1,0,2
1,74,77,0,0,1,1,1
0,12,10,1,2,0,0,2
1,18,19,0,1,1,1,2
1,63,49,1,1,0,0,2
0,49,7,0,1,1,1,2
1,72,38,1,0,0,0,1
0,32,100,1,0,0,0,3
0,84,60,1,1,1,0,2
1,43,64,0,2,1,0,2
0,100,0,0,2,1,0,2
0,65,43,0,0,1,0,1
0,38,38,1,0,0,0,1
1,70,46,0,2,0,1,2
1,72,78,0,2,1,1,2
1,16,44,1,0,1,0,3
0,55,10,1,2,0,0,2
0,6,73,1,2,1,0,2
2,83,18,1,2,0,1,2
2,22,70,1,0,1,1,0
1,59,8,0,1,1,0,2
1,36,68,0,1,1,1,2
2,9,48,0,1,0,0,2
1,24,77,0,0,1,0,0
0,39,75,1,2,0,1,2
1,26,56,0,2,0,1,2
0,76,67,0,0,1,0,1
1,0,8,1,1,0,1,4
2,66,42,0,1,0,1,2
2,24,1,0,0,0,0,1
2,97,38,0,2,1,1,2
0,68,5,1,1,1,1,2
2,5,40,0,1,0,1,2
1,54,72,0,1,0,1,2
2,71,72,1,0,1,0,3
2,42,12,0,2,0,0,2
1,31,40,0,0,1,0,1
2,5,23,1,0,0,0,1
2,95,21,0,1,0,1,2
2,60,62,0,2,0,0,2
2,32,52,1,0,1,1,3
0,49,29,1,2,0,1,2
0,27,93,1,2,0,0,2
0,61,34,0,1,0,0,2
0,47,41,1,2,1,1,2
2,93,93,0,1,1,1,2
2,18,100,1,1,0,0,2
1,62,58,1,1,0,0,2
2,30,49,0,1,0,1,2
1,50,69,1,0,1,0,3
2,27,7,1,2,1,1,2
1,8,12,0,0,1,1,1
0,47,74,0,2,0,1,2
1,67,74,0,0,1,0,1
1,5,20,0,1,1,1,2
0,34,98,0,2,1,0,2
0,88,91,0,1,1,1,2
0,95,94,0,2,0,0,2
2,58,67,1,1,1,0,2
1,3,82,0,1,0,1,2
1,5,95,0,1,0,0,2
0,43,58,1,2,0,1,2
2,34,40,0,1,0,0,2
1,56,62,0,1,0,1,2
0,57,87,0,0,0,1,1
1,8,11,0,2,1,1,2
0,43,89,1,1,0,1,2
0,11,64,1,2,1,0,2
2,26,22,1,1,1,1,2
1,52,27,0,0,0,1,1
1,34,90,0,0,0,0,1
2,82,77,0,0,1,0,1
2,13,9,1,0,0,0,1
2,15,85,0,2,1,1,2
0,9,90,0,0,1,0,1
2,62,52,0,2,0,1,2
0,52,22,1,0,1,0,1
1,94,88,0,0,1,0,1
2,89,58,0,2,1,1,2
1,68,2,1,0,1,0,1
0,71,29,1,1,1,1,2
0,34,56,1,0,0,1,3
0,75,52,0,0,0,0,1
1,97,2,1,0,1,0,1
0,15,78,0,2,0,1,2
1,83,31,1,1,1,0,2
1,2,46,0,1,1,0,4
2,12,60,0,2,0,1,2
2,56,34,0,2,1,0,2
2,47,76,0,0,0,0,1
0,76,68,0,0,1,1,1
2,85,64,1,0,1,1,3
0,67,13,1,2,1,1,2
1,15,25,1,1,0,1,2
0,26,74,1,2,1,0,2
2,77,39,0,1,0,0,2
2,62,75,0,0,0,0,1
2,54,27,0,1,0,1,2
2,15,20,1,1,0,0,2
1,47,36,1,1,1,1,2
1,93,63,0,2,1,1,2
0,9,15,1,1,1,1,2
0,2,99,1,1,1,0,4
0,44,51,0,1,1,1,2
1,31,99,0,0,1,0,1
0,73,88,1,0,1,1,3
0,69,86,0,1,0,0,2
1,74,39,0,2,1,1,2
2,6,83,1,0,0,1,0
2,10,85,1,1,0,0,2
0,85,40,1,1,1,0,2
1,47,45,0,2,1,1,2
1,32,39,0,0,0,0,1
2,65,41,1,1,0,1,2
0,94,99,0,0,0,0,1
0,71,59,1,0,1,0,3
2,21,2,0,1,0,0,2
0,10,3,0,0,1,0,1
2,0,16,1,0,0,0,4
1,27,49,1,2,0,0,2
0,15,35,0,2,0,0,2
0,88,60,1,1,0,0,2
0,69,30,1,0,1,1,5
2,47,41,1,1,1,0,2
1,2,13,1,2,0,0,4
2,37,68,1,1,0,1,2
2,59,90,0,1,1,1,2
0,13,43,1,2,1,1,2
2,36,34,0,2,0,0,2
0,77,67,0,1,0,1,2
0,96,99,0,0,0,0,1
2,21,27,0,0,1,0,1
0,52,33,0,0,1,0,1
1,1,80,1,2,1,0,4
1,29,24,0,0,0,0,1
2,61,23,0,0,1,0,1
1,66,38,1,1,0,1,2
0,74,29,0,0,0,1,1
2,93,6,1,1,0,0,2
1,1,25,0,1,1,1,4
2,19,27,1,2,0,1,2
0,60,19,1,2,0,1,2
1,31,54,1,2,0,1,2
0,85,85,0,1,1,1,2
0,20,90,0,0,0,0,1
0,63,45,0,0,0,1,1
0,30,64,1,1,1,0,2
1,7,100,0,0,1,0,0
1,22,94,0,1,1,0,2
2,86,72,0,0,1,0,1
1,20,51,0,0,1,0,0
2,100,65,1,1,0,0,2
2,87,81,0,1,1,0,2
0,36,36,0,2,1,0,2
0,63,41,0,2,1,1,2
1,49,68,1,2,1,1,2
0,74,48,1,1,0,1,2
2,31,68,1,0,1,0,3
2,15,15,0,1,0,1,2
2,32,79,0,1,1,1,2
2,97,12,0,1,0,0,2
1,85,8,1,1,0,0,2
2,87,18,0,0,0,1,1
1,13,30,0,1,0,1,2
1,36,17,0,0,0,0,1
1,6,88,0,0,1,0,0
2,19,17,1,0,0,0,1
1,35,34,0,1,0,1,2
1,62,95,0,0,1,0,1
0,40,56,1,0,0,0,3
0,95,32,0,2,0,1,2
0,0,93,0,2,0,1,4
2,20,39,1,0,1,1,1
1,44,31,1,0,0,1,1
0,17,38,0,1,0,1,2
1,37,72,0,2,0,0,2
0,15,31,0,1,0,1,2
2,88,1,1,1,0,1,2
1,79,64,0,2,0,0,2
1,34,47,1,1,0,0,2
0,4,22,1,2,0,0,2
0,81,51,0,1,1,1,2
0,67,12,1,2,0,1,2
1,55,79,1,0,1,0,3
2,93,1,0,1,1,0,2
1,99,26,0,0,1,0,1
2,25,57,0,2,0,1,2
1,38,70,1,2,1,1,2
1,61,73,1,1,0,0,2
2,30,26,0,0,0,0,1
0,60,84,1,1,1,0,2
0,87,3,0,1,0,1,2
2,77,1,1,1,0,0,2
0,65,23,1,0,1,0,1
2,9,73,1,1,0,0,2
1,83,35,1,2,0,1,2
2,87,96,1,2,1,0,2
0,87,83,0,1,0,0,2
1,16,53,0,1,0,1,2
0,80,92,0,1,1,1,2
1,91,54,0,2,1,1,2
2,62,81,1,2,0,1,2
1,7,62,0,0,1,0,0
1,98,34,0,2,1,0,2
1,72,98,1,0,1,1,3
2,36,54,1,1,0,1,2
1,14,54,0,0,1,0,0
0,82,69,1,1,0,0,2
0,26,77,0,1,1,0,2
0,3,29,0,2,1,1,2
1,52,45,0,1,0,0,2
1,71,77,0,1,1,1,2
1,50,74,0,1,1,1,2
2,87,69,0,0,0,0,1
2,94,19,0,2,0,1,2
1,72,56,0,0,1,0,1
1,0,92,1,2,0,0,4
0,87,18,1,1,1,0,2
2,11,49,0,1,0,0,2
2,77,40,0,0,1,1,5
1,75,63,0,2,0,1,2
0,71,86,1,2,0,1,2
0,53,25,0,1,0,1,2
0,37,64,1,1,0,0,2
2,31,69,1,0,0,1,3
0,75,49,1,0,1,0,3
2,85,50,0,0,1,1,5
0,3,34,1,2,0,0,2
0,64,6,0,2,0,1,2
2,16,38,1,1,0,0,2
0,36,85,1,2,0,1,2
0,35,14,0,2,0,0,2
2,68,88,0,2,0,1,2
1,6,26,1,2,1,0,2
1,53,33,1,1,1,0,2
1,78,87,1,2,1,0,2
1,99,34,1,2,0,1,2
1,28,2,0,2,0,1,2
0,93,40,1,0,0,0,1
2,5,79,0,2,0,1,2
2,67,26,1,0,0,0,1
2,32,35,1,1,1,1,2
0,71,28,1,0,0,0,1
0,96,28,0,2,1,1,2
1,80,23,1,0,0,1,1
2,91,2,0,2,0,0,2
1,93,63,1,0,0,0,3
1,51,22,0,1,1,0,2
1,88,20,1,0,1,1,5
2,72,20,0,2,1,0,2
2,25,74,1,1,1,0,2
2,25,38,0,1,0,0,2
0,34,92,0,1,1,0,2
2,33,56,0,0,0,0,1
0,32,17,0,0,0,0,1
2,21,86,0,0,1,0,0
0,78,93,1,2,1,0,2
0,67,53,1,2,1,0,2
1,35,65,1,0,1,0,3
1,72,57,0,2,0,0,2
2,12,5,1,1,1,1,2
0,18,54,0,0,0,0,1
0,46,58,0,1,0,1,2
2,54,97,0,1,1,0,2
1,11,39,0,2,0,0,2
1,53,46,0,1,1,0,2
1,83,38,0,1,0,0,2
1,0,19,1,2,1,1,4
0,93,56,1,0,1,0,3
0,75,77,1,2,0,0,2
1,49,35,1,2,0,0,2
2,1,88,0,0,1,0,4
2,47,21,1,2,0,1,2
2,96,93,1,1,1,1,2
0,27,55,0,0,1,0,1
2,25,22,0,0,0,0,1
0,23,25,0,2,1,1,2
2,100,37,0,1,0,0,2
0,61,64,0,1,1,0,2
2,53,9,0,2,1,0,2
0,8,33,1,2,1,0,2
1,55,32,0,2,0,0,2
2,89,91,0,0,0,1,1
1,86,75,0,0,0,1,1
2,18,54,1,0,1,1,0
2,64,77,0,2,0,0,2
1,88,90,1,1,0,0,2
0,64,55,0,1,1,0,2
1,76,49,1,2,1,0,2
0,88,52,0,1,0,1,2
0,47,48,0,1,1,0,2
1,14,74,0,2,1,1,2
1,62,47,0,1,0,0,2
2,69,23,1,2,0,0,2
1,72,21,1,1,0,0,2
1,92,35,0,1,1,1,2
2,61,65,1,0,1,1,3
2,31,85,1,2,1,0,2
1,37,56,0,0,0,1,1
0,29,62,0,1,1,1,2
1,65,42,1,1,0,0,2
1,13,17,1,2,1,0,2
1,77,65,1,0,1,0,3
0,97,26,1,1,0,0,2
2,84,30,1,2,0,0,2
2,39,78,0,1,0,1,2
1,94,28,0,1,0,0,2
1,82,54,0,1,1,0,2
0,14,91,0,0,0,0,1
0,33,54,0,0,1,1,1
1,84,0,1,2,0,1,2
0,33,71,0,0,1,0,1
1,16,66,1,2,1,1,2
1,17,39,1,0,0,0,1
0,34,94,0,2,0,1,2
0,15,78,0,2,0,1,2
2,17,13,1,0,1,1,1
2,58,28,1,2,1,0,2
1,72,47,0,1,1,1,2
2,74,43,1,0,1,0,3
0,54,11,1,2,1,0,2
2,80,69,1,0,1,1,3
1,91,91,1,1,0,0,2
1,50,44,1,2,0,0,2
0,20,96,1,0,0,1,3
0,59,34,1,0,1,0,1
0,87,74,1,1,0,0,2
0,34,35,0,0,0,1,1
2,13,13,1,0,0,0,1
1,44,91,1,2,1,0,2
0,42,68,0,2,1,1,2
0,78,53,1,0,1,1,3
2,86,25,1,2,0,0,2
0,97,53,1,2,1,0,2
0,6,23,0,1,1,1,2
0,39,30,0,1,0,0,2
0,22,73,1,1,1,1,2
2,74,84,0,1,1,1,2
2,85,45,1,1,1,0,2
1,22,94,1,1,1,0,2
0,35,35,1,1,0,1,2
0,80,94,1,0,0,1,3
0,46,64,1,1,0,0,2
0,41,22,0,1,1,0,2
0,36,64,1,2,0,1,2
1,19,16,0,1,0,1,2
2,62,7,1,2,1,1,2
2,67,100,0,2,0,0,2
0,82,23,1,2,0,0,2
0,13,22,0,2,0,1,2
1,100,15,1,2,0,0,2
0,66,8,0,2,0,0,2
2,10,87,0,1,0,1,2
1,4,47,0,2,1,1,2
2,22,3,1,0,1,1,1
2,34,51,1,1,1,1,2
1,73,20,0,1,1,1,2
0,62,12,0,2,1,1,2
2,98,35,0,0,1,1,5
2,59,39,0,1,1,0,2
2,15,48,1,0,0,0,3
1,89,60,0,1,1,1,2
1,80,22,0,2,1,0,2
2,80,7,0,1,1,1,2
0,65,50,0,1,1,0,2
2,94,35,1,0,0,1,1
1,27,27,1,1,0,1,2
0,27,18,1,1,1,0,2
1,50,53,0,1,0,0,2
0,91,59,1,1,1,0,2
1,70,52,1,1,0,1,2
0,71,31,0,1,0,0,2
1,89,89,1,1,1,1,2
1,79,75,1,2,1,0,2
1,48,55,0,0,0,0,1
2,51,89,1,0,0,0,3
1,9,62,1,2,0,0,2
2,39,19,0,1,1,1,2
2,1,68,1,0,0,0,4
0,75,26,0,0,1,0,1
0,39,40,1,2,0,1,2
1,57,91,1,0,1,0,3
1,19,69,1,1,0,0,2
2,65,81,0,0,1,0,1
2,14,1,1,2,1,1,2
2,84,6,1,0,1,1,5
0,50,77,0,1,1,1,2
0,40,67,1,0,1,0,3
1,59,51,0,0,1,1,5
0,12,90,0,0,0,1,1
0,33,62,0,1,1,1,2
